method,seed,held_out_protocol,adaptation_step,effective_adaptation_step,count,mae_cycles,median_absolute_error_cycles,rmse_cycles,mape_percent,mean_bias_cycles,within_10_percent_accuracy,within_15_percent_accuracy,r2,max_absolute_error_cycles,y_general_mae_cycles,y_general_rmse_cycles,mean_absolute_y_general,mean_absolute_specific_residual,residual_to_general_ratio,residual_ratio_warning,general_representation_cosine_distance,general_representation_l2_distance,specific_representation_cosine_distance,specific_representation_l2_distance,source_validation_general_domain_accuracy,source_validation_specific_domain_accuracy,target_support_labels_used_for_adaptation,target_query_labels_used_for_adaptation_or_checkpoint_selection,prediction_mode
hybrid,42,protocol_1,0,0,6,459.9625651041667,345.1656494140625,647.08699229976,31.61581155927221,101.82283528645833,0.5,0.5,-0.5399805813121819,1376.3984375,455.7972412109375,646.6907168334711,1911.681640625,30.576814651489258,0.0159947210883359,False,-9.934107758624577e-09,0.0,-1.9868215517249155e-08,0.0,0.1111111111111111,0.3333333333333333,False,False,residual
hybrid,42,protocol_1,1,1,6,457.71368408203125,341.68658447265625,646.75880520139,31.45689498142908,97.53216552734375,0.5,0.5,-0.5384188945508126,1374.63916015625,455.07810465494794,646.9277799153715,1908.5906982421875,31.65049171447754,0.01658317403706706,False,-9.934107758624577e-09,0.0,0.00015450517821591347,0.07053105533123016,0.1111111111111111,0.3333333333333333,True,False,residual
hybrid,42,protocol_1,2,2,6,455.77439371744794,338.69146728515625,646.5892400226259,31.322450121394652,93.92034912109375,0.5,0.5,-0.5376123246927826,1373.46435546875,455.2777506510417,647.2271251173735,1906.0380859375,32.60977554321289,0.017108669435203606,False,-9.934107758624577e-09,0.0,0.0005386670818552375,0.13156616687774658,0.1111111111111111,0.3333333333333333,True,False,residual
hybrid,42,protocol_1,5,5,6,451.38804117838544,332.140869140625,646.7091540083376,31.028345957367765,86.07033284505208,0.5,0.5,-0.5381826970659687,1372.33544921875,455.896728515625,648.3544628362763,1900.65234375,34.853694915771484,0.018337753892963354,False,-9.934107758624577e-09,0.0,0.0022742252331227064,0.27139368653297424,0.1111111111111111,0.3333333333333333,True,False,residual
hybrid,42,protocol_1,10,10,6,446.88824462890625,325.936767578125,647.967164572716,30.752072318687144,78.85316975911458,0.5,0.5,-0.544172815338797,1375.016357421875,456.9556884765625,650.6086060840098,1896.1400146484375,37.35832214355469,0.019702301441321186,False,-9.934107758624577e-09,0.0,0.00554936146363616,0.4285314977169037,0.1111111111111111,0.3333333333333333,True,False,residual
